File,PHFT,CgTT,Área condicionada,cgtt/appuh,Carga aquecimento,Carga resfriamento,TOmin,TOmax,Tomin Ref,Tomax ref,Tomin - Tomin ref,tomax - tomax ref,PHFT intermediario e superior,Criterio PHFT antendido,RED CgTT,Classificação INMET
uberlandia_verde_ANALISE_1_CBout,70.4,2939,29.64,99.16,8.418396797,2930.806252,16.5,33.4,17.6,33.2,-1.1,0.2,69.91,sim,0.231834814,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_verde_ANALISE_2_CB+Murosout,71,2708,29.64,91.36,8.892263324,2699.840225,16.6,33.2,17.6,33.1,-1,0.1,70.45,sim,0.235244281,intermediário
uberlandia_verde_ANALISE_3_CB+Muros+GARout,70.4,2743,29.64,92.54,7.70574949,2735.669299,16.8,33,17.8,33.2,-1,-0.2,69.49,sim,0.274722369,intermediário
uberlandia_verde_ANALISE_4_CB+Muros+3Qout,73.7,2969,37.79,78.57,11.08154608,2958.433751,16.4,33.1,17.3,32.9,-0.9,0.2,70.67,sim,0.273727984,intermediário
uberlandia_verde_ANALISE_5_CB+Muros+GAR+3Qout,72.9,3014,37.79,79.76,10.0889052,3004.37191,16.5,32.9,16.5,34.5,0,-1.6,73.51,nao,0.205797101,mínimo
uberlandia_verde_ANALISE_6_CB+Muros+3Q_CNSTout,74.9,2340,33.87,69.09,9.937814115,2330.794333,16.9,33.5,17.9,33.2,-1,0.3,71.91,sim,0.295392954,intermediário
uberlandia_areia_ANALISE_1_CBout,74.5,2419,29.64,81.61,11.87926152,2407.236669,16.3,32.6,17.6,33.2,-1.3,-0.6,69.91,sim,0.367746994,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_areia_ANALISE_2_CB+Murosout,75.3,2184,29.64,73.68,12.90098101,2171.347225,16.3,32.3,17.6,33.1,-1.3,-0.8,70.45,sim,0.383225078,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_areia_ANALISE_3_CB+Muros+GARout,74.6,2248,29.64,75.84,10.92710203,2237.228049,16.5,32.2,17.8,33.2,-1.3,-1,69.49,sim,0.4056055,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_areia_ANALISE_4_CB+Muros+3Qout,77.9,2389,37.79,63.22,16.09760055,2373.413548,16.2,32.3,17.3,32.9,-1.1,-0.6,70.67,sim,0.415606654,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_areia_ANALISE_5_CB+Muros+GAR+3Qout,77.3,2448,37.79,64.78,14.39319516,2434.590441,16.3,32.2,16.5,34.5,-0.2,-2.3,73.51,sim,0.354940711,superior
uberlandia_areia_ANALISE_6_CB+Muros+3Q_CNSTout,78.5,1921,33.87,56.72,14.19245764,1907.610891,16.7,32.6,17.9,33.2,-1.2,-0.6,71.91,sim,0.421559771,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_branco_ANALISE_1_CBout,76.1,2205,29.64,74.39,14.47697638,2191.366538,16.2,32.2,17.6,33.2,-1.4,-1,69.91,sim,0.423680084,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_branco_ANALISE_2_CB+Murosout,76.9,1986,29.64,67.00,16.53611508,1970.393862,16.2,31.9,17.6,33.1,-1.4,-1.2,70.45,sim,0.439141485,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_branco_ANALISE_3_CB+Muros+GARout,76.3,2049,29.64,69.13,12.33206355,2037.664333,16.4,31.9,17.8,33.2,-1.4,-1.3,69.49,sim,0.458223162,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_branco_ANALISE_4_CB+Muros+3Qout,79.5,2160,37.79,57.16,20.15720558,2139.958252,16.1,31.9,17.3,32.9,-1.2,-1,70.67,sim,0.471624266,Não atende aos requisitos de ?TOMín da NBR 15575
uberlandia_branco_ANALISE_5_CB+Muros+GAR+3Qout,78.9,2231,37.79,59.04,16.95381964,2214.870035,16.2,32,16.5,34.5,-0.3,-2.5,73.51,sim,0.412121212,superior
uberlandia_branco_ANALISE_6_CB+Muros+3Q_CNSTout,79.9,1763,33.87,52.05,16.96485573,1746.751442,16.6,32.3,17.9,33.2,-1.3,-0.9,71.91,sim,0.469135802,Não atende aos requisitos de ?TOMín da NBR 15575
